SnomedCTConceptId,Term,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408040007,Product containing only ramipril 1.25 mg/1 each oral tablet (clinical drug),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408040007,Product containing only ramipril 1.25 mg/1 each oral tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408040007,Product containing precisely ramipril 1.25 milligram/1 each conventional release oral tablet (clinical drug),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408040007,Product containing precisely ramipril 1.25 milligram/1 each conventional release oral tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408040007,Ramipril 1.25mg tablets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408050008,Ramipril 2.5mg tablet (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408050008,Ramipril 2.5mg tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408050008,Product containing ramipril 2.5 mg/1 each oral tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408050008,Product containing ramipril 2.5 mg/1 each oral tablet (clinical drug),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408050008,Ramipril 2.5 mg oral tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408050008,Product containing only ramipril 2.5 mg/1 each oral tablet (clinical drug),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408050008,Product containing only ramipril 2.5 mg/1 each oral tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408050008,Product containing precisely ramipril 2.5 milligram/1 each conventional release oral tablet (clinical drug),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408050008,Product containing precisely ramipril 2.5 milligram/1 each conventional release oral tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408050008,Ramipril 2.5mg tablets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408051007,Ramipril 5mg tablet (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408051007,Ramipril 5mg tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408051007,Product containing ramipril 5 mg/1 each oral tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408051007,Product containing ramipril 5 mg/1 each oral tablet (clinical drug),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408051007,Ramipril 5 mg oral tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408051007,Product containing only ramipril 5 mg/1 each oral tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408051007,Product containing only ramipril 5 mg/1 each oral tablet (clinical drug),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408051007,Product containing precisely ramipril 5 milligram/1 each conventional release oral tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408051007,Product containing precisely ramipril 5 milligram/1 each conventional release oral tablet (clinical drug),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408051007,Ramipril 5mg tablets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408052000,Ramipril 10mg tablet (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408052000,Ramipril 10mg tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408052000,Product containing ramipril 10 mg/1 each oral tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408052000,Product containing ramipril 10 mg/1 each oral tablet (clinical drug),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408052000,Ramipril 10 mg oral tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408052000,Product containing only ramipril 10 mg/1 each oral tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408052000,Product containing only ramipril 10 mg/1 each oral tablet (clinical drug),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408052000,Product containing precisely ramipril 10 milligram/1 each conventional release oral tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408052000,Product containing precisely ramipril 10 milligram/1 each conventional release oral tablet (clinical drug),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408052000,Ramipril 10mg tablets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410958005,Trandolapril 4mg capsule (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410958005,Trandolapril 4mg capsule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410958005,Trandolapril 4 mg/1 each oral capsule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410958005,Product containing trandolapril 4 mg/1 each oral capsule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410958005,Product containing trandolapril 4 mg/1 each oral capsule (clinical drug),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410958005,Product containing only trandolapril 4 mg/1 each oral capsule (clinical drug),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410958005,Product containing only trandolapril 4 mg/1 each oral capsule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410958005,Product containing precisely trandolapril 4 milligram/1 each conventional release oral capsule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410958005,Product containing precisely trandolapril 4 milligram/1 each conventional release oral capsule (clinical drug),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410958005,Trandolapril 4 mg oral capsule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410958005,Trandolapril 4mg capsules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3911000001107,Captopril 50mg tablets (Approved Prescription Services) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3911000001107,Captopril 50mg tablets (Approved Prescription Services),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3911000001107,Captopril 50mg tablets (Teva UK Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4811000001104,Enalapril 2.5mg tablets (A A H Pharmaceuticals Ltd) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4811000001104,Enalapril 2.5mg tablets (A A H Pharmaceuticals Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17311000001102,Capozide 25mg/50mg tablets (Bristol-Myers Squibb Pharmaceuticals Limited) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17311000001102,Capozide 25mg/50mg tablets (Bristol-Myers Squibb Pharmaceuticals Limited),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17311000001102,Capozide 25mg/50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19311000001107,Captopril 12.5mg tablets (Approved Prescription Services) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19311000001107,Captopril 12.5mg tablets (Approved Prescription Services),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19311000001107,Captopril 12.5mg tablets (Teva UK Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35611000001109,Lisinopril 5mg tablets (Viatris UK Healthcare Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35611000001109,Lisinopril 5mg tablets (Viatris UK Healthcare Ltd) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35611000001109,Lisinopril 5mg tablets (Generics (UK) Ltd) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35611000001109,Lisinopril 5mg tablets (Generics (UK) Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35611000001109,Lisinopril 5mg tablets (Mylan Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35611000001109,Lisinopril 5mg tablets (Mylan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48211000001104,Coversyl 2mg tablets (Servier Laboratories Limited) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48211000001104,Coversyl 2mg tablets (Servier Laboratories Limited),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48211000001104,Coversyl 2mg tablets (Servier Laboratories Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50211000001104,Enalapril 5mg tablets (Kent Pharma (UK) Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50211000001104,Enalapril 5mg tablets (Kent Pharma (UK) Ltd) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50211000001104,Enalapril 5mg tablets (Kent Pharmaceuticals Ltd) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50211000001104,Enalapril 5mg tablets (Kent Pharmaceuticals Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51511000001108,Enalapril 5mg tablets (Sandoz Ltd) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51511000001108,Enalapril 5mg tablets (Sandoz Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60211000001105,Lisinopril 2.5mg tablets (Approved Prescription Services) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60211000001105,Lisinopril 2.5mg tablets (Approved Prescription Services),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60211000001105,Lisinopril 2.5mg tablets (Teva UK Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72111000001106,Lisinopril 5mg tablets (Unichem Plc) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72111000001106,Lisinopril 5mg tablets (Unichem Plc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72111000001106,Lisinopril 5mg tablets (UniChem Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72111000001106,Lisinopril 5mg tablets (Alliance Healthcare (Distribution) Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86411000001109,Accupro 40mg tablets (Pfizer Ltd) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86411000001109,Accupro 40mg tablets (Pfizer Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92211000001108,Enalapril 5mg tablets (Alpharma Limited) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92211000001108,Enalapril 5mg tablets (Alpharma Limited),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92211000001108,Enalapril 5mg tablets (Actavis UK Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96611000001106,Lisinopril 2.5mg tablets (Ranbaxy (UK) Ltd) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96611000001106,Lisinopril 2.5mg tablets (Ranbaxy (UK) Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102611000001100,Enalapril 2.5mg tablets (Zentiva Pharma UK Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102611000001100,Enalapril 2.5mg tablets (Zentiva Pharma UK Ltd) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102611000001100,Enalapril 2.5mg tablets (Sterwin Medicines) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102611000001100,Enalapril 2.5mg tablets (Sterwin Medicines),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102611000001100,Enalapril 2.5mg tablets (Winthrop Pharmaceuticals UK Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102611000001100,Enalapril 2.5mg tablets (Zentiva),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104511000001109,Enalapril 10mg tablets (Zentiva Pharma UK Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104511000001109,Enalapril 10mg tablets (Zentiva Pharma UK Ltd) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104511000001109,Enalapril 10mg tablets (Sterwin Medicines) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104511000001109,Enalapril 10mg tablets (Sterwin Medicines),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104511000001109,Enalapril 10mg tablets (Winthrop Pharmaceuticals UK Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104511000001109,Enalapril 10mg tablets (Zentiva),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110061000001108,Enalapril 20mg / Hydrochlorothiazide 12.5mg tablets (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110061000001108,Enalapril 20mg / Hydrochlorothiazide 12.5mg tablets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110581000001108,Quinapril 10mg / Hydrochlorothiazide 12.5mg tablets (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110581000001108,Quinapril 10mg / Hydrochlorothiazide 12.5mg tablets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111611000001109,Tritace 1.25mg capsules (Aventis Pharma) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111611000001109,Tritace 1.25mg capsules (Aventis Pharma),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127311000001103,Enalapril 10mg tablets (Kent Pharma (UK) Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127311000001103,Enalapril 10mg tablets (Kent Pharma (UK) Ltd) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127311000001103,Enalapril 10mg tablets (Kent Pharmaceuticals Ltd) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127311000001103,Enalapril 10mg tablets (Kent Pharmaceuticals Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134511000001103,Capoten 12.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Limited) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134511000001103,Capoten 12.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Limited),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134511000001103,Capoten 12.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140511000001108,Odrik 2mg capsules (Aventis Pharma) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140511000001108,Odrik 2mg capsules (Aventis Pharma),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145811000001100,Lisinopril 10mg tablets (Sandoz Ltd) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145811000001100,Lisinopril 10mg tablets (Sandoz Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146811000001108,Innozide 20mg/12.5mg tablets (Organon Pharma (UK) Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146811000001108,Innozide 20mg/12.5mg tablets (Organon Pharma (UK) Ltd) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146811000001108,Innozide 20mg/12.5mg tablets (Merck Sharp & Dohme Ltd) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146811000001108,Innozide 20mg/12.5mg tablets (Merck Sharp & Dohme Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155311000001107,Lisinopril 20mg tablets (Ranbaxy (UK) Ltd) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155311000001107,Lisinopril 20mg tablets (Ranbaxy (UK) Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207311000001109,Co-zidocapt 12.5mg/25mg tablets (Unichem Plc) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207311000001109,Co-zidocapt 12.5mg/25mg tablets (Unichem Plc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207311000001109,Co-zidocapt 12.5mg/25mg tablets (UniChem Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207311000001109,Co-zidocapt 12.5mg/25mg tablets (Alliance Healthcare (Distribution) Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212311000001105,Captopril 50mg tablets (Sandoz Ltd) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212311000001105,Captopril 50mg tablets (Sandoz Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221411000001104,Ecopace 12.5mg tablets (Goldshield Healthcare Ltd) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221411000001104,Ecopace 12.5mg tablets (Goldshield Healthcare Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221411000001104,Ecopace 12.5mg tablets (Goldshield Pharmaceuticals Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221411000001104,Ecopace 12.5mg tablets (Mercury Pharma Group Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221411000001104,Ecopace 12.5mg tablets (AMCo),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221411000001104,Ecopace 12.5mg tablets (Advanz Pharma),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225811000001104,Enalapril 10mg tablets (A A H Pharmaceuticals Ltd) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225811000001104,Enalapril 10mg tablets (A A H Pharmaceuticals Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226411000001105,Captopril 12.5mg tablets (A A H Pharmaceuticals Ltd) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226411000001105,Captopril 12.5mg tablets (A A H Pharmaceuticals Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233511000001103,Enalapril 20mg tablets (Kent Pharma (UK) Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233511000001103,Enalapril 20mg tablets (Kent Pharma (UK) Ltd) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233511000001103,Enalapril 20mg tablets (Kent Pharmaceuticals Ltd) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233511000001103,Enalapril 20mg tablets (Kent Pharmaceuticals Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247511000001109,Lisinopril 10mg tablets (Alpharma Limited) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247511000001109,Lisinopril 10mg tablets (Alpharma Limited),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247511000001109,Lisinopril 10mg tablets (Actavis UK Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248011000001100,Captopril 50mg tablets (Alpharma Limited) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248011000001100,Captopril 50mg tablets (Alpharma Limited),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248011000001100,Captopril 50mg tablets (Actavis UK Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259111000001109,Enalapril 5mg tablets (Zentiva Pharma UK Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259111000001109,Enalapril 5mg tablets (Zentiva Pharma UK Ltd) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259111000001109,Enalapril 5mg tablets (Sterwin Medicines) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259111000001109,Enalapril 5mg tablets (Sterwin Medicines),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259111000001109,Enalapril 5mg tablets (Winthrop Pharmaceuticals UK Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259111000001109,Enalapril 5mg tablets (Zentiva),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260211000001104,Accuretic 12.5mg/10mg tablets (Pfizer Ltd) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260211000001104,Accuretic 12.5mg/10mg tablets (Pfizer Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260211000001104,Accuretic 10mg/12.5mg tablets (Pfizer Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263311000001101,Acezide 25mg/50mg tablets (Bristol-Myers Squibb Pharmaceuticals Limited) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263311000001101,Acezide 25mg/50mg tablets (Bristol-Myers Squibb Pharmaceuticals Limited),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263311000001101,Acezide 25mg/50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273111000001109,Gopten 2mg capsules (Abbott Laboratories Ltd) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273111000001109,Gopten 2mg capsules (Abbott Laboratories Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289711000001101,Enalapril 2.5mg tablets (Unichem Plc) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289711000001101,Enalapril 2.5mg tablets (Unichem Plc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289711000001101,Enalapril 2.5mg tablets (UniChem Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289711000001101,Enalapril 2.5mg tablets (Alliance Healthcare (Distribution) Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291911000001104,Captopril 50mg tablets (Kent Pharma (UK) Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291911000001104,Captopril 50mg tablets (Kent Pharma (UK) Ltd) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291911000001104,Captopril 50mg tablets (Kent Pharmaceuticals Ltd) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291911000001104,Captopril 50mg tablets (Kent Pharmaceuticals Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303411000001102,Captopril 25mg tablets (A A H Pharmaceuticals Ltd) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303411000001102,Captopril 25mg tablets (A A H Pharmaceuticals Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307811000001106,Co-zidocapt 25mg/50mg tablets (Sandoz Ltd) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307811000001106,Co-zidocapt 25mg/50mg tablets (Sandoz Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315211000001104,Carace 10mg tablets (Bristol-Myers Squibb Pharmaceuticals Limited) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315211000001104,Carace 10mg tablets (Bristol-Myers Squibb Pharmaceuticals Limited),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315211000001104,Carace 10mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321011000001103,Carace 2.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Limited) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321011000001103,Carace 2.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Limited),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321011000001103,Carace 2.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332211000001104,Captopril 12.5mg tablets (Viatris UK Healthcare Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332211000001104,Captopril 12.5mg tablets (Viatris UK Healthcare Ltd) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332211000001104,Captopril 12.5mg tablets (Generics (UK) Ltd) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332211000001104,Captopril 12.5mg tablets (Generics (UK) Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332211000001104,Captopril 12.5mg tablets (Mylan Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332211000001104,Captopril 12.5mg tablets (Mylan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348111000001107,Staril 20mg tablets (Bristol-Myers Squibb Pharmaceuticals Limited) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348111000001107,Staril 20mg tablets (Bristol-Myers Squibb Pharmaceuticals Limited),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348111000001107,Staril 20mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367611000001108,Enalapril 20mg tablets (Unichem Plc) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367611000001108,Enalapril 20mg tablets (Unichem Plc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367611000001108,Enalapril 20mg tablets (UniChem Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367611000001108,Enalapril 20mg tablets (Alliance Healthcare (Distribution) Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414411000001109,Enalapril 10mg tablets (IVAX Pharmaceuticals UK Ltd) (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414411000001109,Enalapril 10mg tablets (IVAX Pharmaceuticals UK Ltd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
